"name","in","out"
"MMB.Nedaňové příjmy. Přijaté splátky půjčených prostředků. Splátky půjčených prostředků od zřízených a podobných subjektů",84535351,0
"MMB.Nedaňové příjmy. Příjmy z prodeje nekapitálového majetku a ostatní nedaňové příjmy",111662500.09,-9309841.49
"MMB.Nedaňové příjmy. Příjmy z prodeje nekapitálového majetku a ostatní nedaňové příjmy. Ostatní nedaňové příjmy",111176906.99,-9309841.49
"MMB.Nedaňové příjmy. Příjmy z prodeje nekapitálového majetku a ostatní nedaňové příjmy. Příjmy z prodeje krátkodobého a drobného dlouhodobého majetku",302182.1,0
"MMB.Nedaňové příjmy. Příjmy z prodeje nekapitálového majetku a ostatní nedaňové příjmy. Příjmy z využívání výhradních práv k přírodním zdrojům",183411,0
"MMB.Nedaňové příjmy. Příjmy z vlastní činnosti a odvody přebytků organizací s přímým vztahem",552872860.82,-5969770.38
"MMB.Nedaňové příjmy. Příjmy z vlastní činnosti a odvody přebytků organizací s přímým vztahem. Odvody přebytků organizací s přímým vztahem",119894537.04,-796500
"MMB.Nedaňové příjmy. Příjmy z vlastní činnosti a odvody přebytků organizací s přímým vztahem. Příjmy z pronájmu majetku",261753477.96,-2120366.36
"MMB.Nedaňové příjmy. Příjmy z vlastní činnosti a odvody přebytků organizací s přímým vztahem. Příjmy z vlastní činnosti",118049399.23,-2948350.13
"MMB.Nedaňové příjmy. Příjmy z vlastní činnosti a odvody přebytků organizací s přímým vztahem. Výnosy z finančního majetku",53175446.59,-104553.89
"MMB.Přijaté transfery",2334027435.05,-82041741.58
"MMB.Přijaté transfery. Investiční přijaté transfery",421853921.63,-9027659.24
"MMB.Přijaté transfery. Investiční přijaté transfery. Investiční přijaté transfery od veřejných rozpočtů ústřední úrovně",86452544.6,-3042659.24
"MMB.Přijaté transfery. Investiční přijaté transfery. Investiční přijaté transfery od veřejných rozpočtů územní úrovně",335401377.03,-5985000
"MMB.Přijaté transfery. Neinvestiční přijaté transfery",1912173513.42,-73014082.34
"MMB.Přijaté transfery. Neinvestiční přijaté transfery. Neinvestiční přijaté transfery od veřejných rozpočtů ústřední úrovně",572158548.91,-62381644.51
"MMB.Přijaté transfery. Neinvestiční přijaté transfery. Neinvestiční přijaté transfery od veřejných rozpočtů územní úrovně",178087737.85,-9482298.05
"MMB.Přijaté transfery. Neinvestiční přijaté transfery. Neinvestiční přijaté transfery ze zahraničí",2116180.28,0
"MMB.Přijaté transfery. Neinvestiční přijaté transfery. Převody z vlastních fondů",1159811046.38,-1150139.78
