,color,id,month,value,year
0,red,God.Kapitálové výdaje.Investiční nákupy a související výdaje.Pořízení dlouhodobého nehmotného majetku,1,0.0,2016
0,green,God.Kapitálové výdaje.Investiční nákupy a související výdaje.Pořízení dlouhodobého hmotného majetku,1,43701541.449999996,2016
0,red,God.Kapitálové výdaje.Investiční nákupy a související výdaje.Pořízení dlouhodobého hmotného majetku,1,19723.04,2016
0,green,God.Kapitálové výdaje.Investiční nákupy a související výdaje.Pozemky,1,11513716.0,2016
0,red,God.Kapitálové výdaje.Investiční nákupy a související výdaje.Pozemky,1,0.0,2016
0,,God.Kapitálové výdaje.Nákup akcií a majetkových podílů,1,,2016
0,green,God.Kapitálové výdaje.Nákup akcií a majetkových podílů.Nákup akcií a majetkových podílů,1,0.0,2016
0,red,God.Kapitálové výdaje.Nákup akcií a majetkových podílů.Nákup akcií a majetkových podílů,1,0.0,2016
0,,God.Kapitálové výdaje.Investiční transfery,1,,2016
0,green,God.Kapitálové výdaje.Investiční transfery.Investiční transfery podnikatelským subjektům,1,0.0,2016
0,red,God.Kapitálové výdaje.Investiční transfery.Investiční transfery podnikatelským subjektům,1,0.0,2016
0,green,God.Kapitálové výdaje.Investiční transfery.Investiční transfery neziskovým a podobným organizacím,1,0.0,2016
0,red,God.Kapitálové výdaje.Investiční transfery.Investiční transfery neziskovým a podobným organizacím,1,0.0,2016
0,green,God.Kapitálové výdaje.Investiční transfery.Investiční transfery příspěvkovým a podobným organizacím,1,2400000.0,2016
0,red,God.Kapitálové výdaje.Investiční transfery.Investiční transfery příspěvkovým a podobným organizacím,1,0.0,2016
0,,God.Kapitálové výdaje.Ostatní kapitálové výdaje,1,,2016
0,green,God.Kapitálové výdaje.Ostatní kapitálové výdaje.Ostatní kapitálové výdaje,1,0.0,2016
0,red,God.Kapitálové výdaje.Ostatní kapitálové výdaje.Ostatní kapitálové výdaje,1,0.0,2016
0,,God.Financování,1,,2016
0,,God.Financování.Financování z tuzemska,1,,2016
0,green,God.Financování.Financování z tuzemska.Krátkodobé financování,1,3804810395.2799993,2016
0,red,God.Financování.Financování z tuzemska.Krátkodobé financování,1,3163585447.6300025,2016
0,,God.Financování.Financování ze zahraničí,1,,2016
0,green,God.Financování.Financování ze zahraničí.Dlouhodobé financování,1,0.0,2016
0,red,God.Financování.Financování ze zahraničí.Dlouhodobé financování,1,0.0,2016
